PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR,Vol
PB563228,2008-08-01:22:24:55,0,PILAC-BT33,T5,50.06,2480,10948,10670,1호기,1,1169,94,1127,160,362,897,1,6,3조,7.850315381204063
PB563229,2008-08-01:22:25:33,0,PILAC-BT33,T5,50.06,2480,10948,10670,2호기,1,1164,149,1123,98,352,888,1,6,1조,7.850315381204063
PB563230,2008-08-01:22:25:51,0,PILAC-BT33,T5,60.58,2305,12224,26800,2호기,2,1166,94,1121,156,355,891,1,6,2조,15.70078093228474
PB563231,2008-08-01:23:30:27,0,BV-AH32-TM,T0,50.41,3065,12334,14960,1호기,1,1174,129,1137,113,354,880,1,6,2조,7.850195512039438
PB563232,2008-08-01:23:30:37,0,NV-D32-TM,T0,40.34,2043,28904,37400,3호기,1,1135,106,1121,126,351,887,1,6,4조,15.700352136760088
PB563233,2008-08-01:23:30:33,0,NV-D32-TM,T0,40.34,2043,28904,37400,3호기,2,1158,106,1124,124,351,891,1,6,2조,15.700352136760088
PB563234,2008-08-01:23:31:55,0,PILAC-BT33,T5,40.35,2531,21641,34700,1호기,2,1148,97,1125,157,362,908,1,6,3조,15.700607816388374
PB563235,2008-08-01:23:31:38,0,PILAC-BT33,T5,50.45,1800,22178,31620,2호기,1,1158,156,1122,96,355,901,1,6,4조,15.700222630348566
PB563236,2008-08-01:23:31:00,0,PILAC-BT33,T5,50.0,2610,13158,13480,2호기,2,1164,120,1122,119,360,901,1,6,4조,7.850358653069473
PB563237,2008-08-01:23:32:13,0,PILAC-BT33,T5,50.0,2610,13070,13390,1호기,1,1152,158,1134,78,364,900,1,6,2조,7.850448659883269
PB563238,2008-08-01:23:32:21,0,NV-A32-TM,T0,40.35,2772,25978,45620,3호기,1,1120,109,1116,117,361,894,1,6,4조,15.700475426048195
PB563239,2008-08-01:23:32:45,0,PILAC-BT33,T5,50.45,1800,25937,36980,3호기,2,1151,112,1125,116,361,894,1,6,4조,15.700500212926888
PB563240,2008-08-01:23:33:38,0,PILAC-BT33,T5,50.06,2370,14838,13820,1호기,2,1153,134,1126,116,364,897,1,6,3조,7.850430714699152
PB563241,2008-08-01:23:33:56,0,PILAC-BT33,T5,55.02,3055,13429,17720,2호기,1,1150,133,1120,113,371,892,1,6,1조,7.850335960857924
PB563242,2008-08-01:23:33:19,1,PILAC-BT33,T5,55.02,3055,13429,17720,2호기,2,1151,136,1122,109,357,892,0,6,3조,7.850335960857924
PB563243,2008-08-01:23:34:47,0,PILAC-BT33,T5,55.02,3055,13429,17720,1호기,1,1144,165,1131,52,355,896,1,6,1조,7.850335960857924
PB563244,2008-08-01:23:34:25,0,BV-AH32-TM,T0,40.35,3080,18563,36220,3호기,1,1109,126,1116,80,362,899,1,6,4조,15.70023040161804
PB563245,2008-08-01:23:35:30,0,PILAC-BT33,T5,50.0,2610,17590,36040,3호기,2,1141,140,1127,84,363,896,1,6,4조,15.700317360743544
PB563246,2008-08-01:23:35:04,0,PILAC-BT33,T5,60.18,2480,13255,31060,1호기,2,1137,125,1123,120,372,893,1,6,3조,15.700658051480033
PB563247,2008-08-01:23:35:39,0,PILAC-BT33,T5,60.18,2480,13255,31060,2호기,1,1142,156,1120,85,370,894,1,6,4조,15.700658051480033
PB563248,2008-08-01:23:35:07,0,PILAC-BT33,T5,60.57,2065,12293,12070,2호기,2,1143,155,1122,87,371,901,1,6,1조,7.8500379957106565
PB563249,2008-08-02:00:00:51,0,PILAC-BT33,T5,70.1,2280,15860,19900,1호기,1,1140,163,1125,69,366,869,1,6,1조,7.850494767373035
PB563250,2008-08-02:00:00:11,0,PILAC-BT33,T5,70.1,2150,15340,18150,3호기,1,1108,138,1117,78,362,876,1,6,3조,7.850454338016169
PB563251,2008-08-02:00:00:42,0,PILAC-BT33,T5,70.1,2150,13726,16240,1호기,2,1135,140,1123,93,369,870,1,6,2조,7.850287325108324
PB563252,2008-08-02:00:01:52,0,PILAC-BT33,T5,70.1,2150,13726,16240,2호기,1,1137,141,1121,74,376,876,1,6,2조,7.850287325108324
PB563253,2008-08-02:00:01:23,0,PILAC-BT33,T5,70.1,2280,15860,19900,3호기,2,1138,148,1126,80,375,877,1,6,2조,7.850494767373035
